LOCA	num.tree2	num.trap	parcelle	idtrap	strate	Dendrophilus.punctatus	Poecilium.rufipes	Ampedus.rufipennis	Plegaderus.dissectus	Kissophagus.vicinus	Globicornis.fasciata	Cerylon.deplanatum	Agrilus.angustulus	Conopalpus.brevicollis	Cryptophilus.integer	Dorcatoma.chrysomelina	Lymexylon.navale	Microrhagus.pyrenaeus	Teredus.cylindricus	Trox.scaber	Trypodendron.signatum	Silvanus.unidentatus	Corticeus.suberis	Allonyx.quadrimaculatus	Epuraea.sp.	Mycetophagus.fulvicollis	Anaglyptus.mysticus	Xylotrechus.arvicola	Mycetophagus.multipunctatus	Mordellistena.variegata	Obrium.cantharinum	Salpingus.tapirus	Callimus.angulatus	Eidophelus.caucasicus	Anaspis.frontalis	Placonotus.testaceus	Aulonothroscus.brevicollis	Rutpela.maculata	Palorus.depressus	Liocola.marmorata	Gonodera.luperus	Hylis.simonae	Anthrenus.sp.	Symbiotes.sp.	Sulcacis.fronticornis	Pseudeuparius.sepicola	Lichenophanes.varius	Platysoma.compressum	Choragus.sheppardi	Trypophloeus.granulatus	Notolaemus.unifasciatus	Pentaphyllus.testaceus	Hemicrepidius.hirtus	Mesosa.curculionoides	Brachygonus.bouyoni	Ampedus.pomonae	Tenebroides.fuscus	Nemozoma.elongatum	Malthininae	Xyletinus.sp.	Agrilus.obscuricollis	Tillus.elongatus	Hemicoelus.fulvicornis	Cis.villosulus	Dorcatoma.androgyna	Grammoptera.abdominalis	Colydium.elongatum	Dermestes.lardarius	Leiopus.femoratus	Attagenus.punctatus	Cis.fusciclavis	Triplax.rufipes	Platypus.cylindrus	Xylopertha.retusa	Dorcus.parallelipipedus	Anaspis.flava	Attagenus.pellio	Pediacus.dermestoides	Anthribus.nebulosus	Aplocnemus.sp.	Clambus.sp.	Agrilus.hastulifer	Isorhipis.marmottani	Gnorimus.nobilis	Agrilus.olivicolor	Soronia.oblonga	Leiopus.linnei	Ennearthron.cornutum	Paromalus.flavicornis	Aplocnemus.impressus	Ptinomorphus.imperialis	Globicornis.nigripes	Monotoma.picipes	Salpingus.ruficollis	Cryptolestes.corticinus	Allandrus.therondi	Dissoleucas.niveirostris	Plagionotus.detritus	Dorcatoma.substriata	Mordellistena.neuwaldeggiana	Exocentrus.adspersus	Pedostrangalia.revestita	Ropalopus.femoratus	Agrilus.graminis	Cis.boleti	Triplax.lepida	Lissodema.denticolle	Melandrya.barbata	Scolytus.rugulosus	Meliboeus.fulgidicollis	Conopalpus.testaceus	Tritoma.bipustulata	Anthrenus.pimpinellae	Nalassus.laevioctostriatus	Xestobium.rufovillosum	Rhizophagus.bipustulatus	Opilo.pallidus	Anthrenus.scrophulariae	Hemicoelus.costatus	Stictoleptura.scutellata	Rhagium.sycophanta	Tribolium.castaneum	Rhagium.bifasciatum	Dasytes.caeruleus	Coraebus.undatus	Potosia.cuprea	Vincenzellus.ruficollis	Platycerus.caraboides	Pycnomerus.terebrans	Dermestes.bicolor	Ampedus.balteatus	Hedobia.pubescens	Orthocis.alni	Prionocyphon.serricornis	Carcinops.pumilio	Eidophelus.fagi	Attagenus.unicolor	Mesocoelopus.niger	Cryptolestes.duplicatus	Pyrochroa.coccinea	Alphitobius.diaperinus	Mordella.brachyura	Agrilus.laticornis	Deroplia.genei	Latridius.hirtus	Salpingus.planirostris	Cryptolestes.ferrugineus	Nematodes.filum	Ptilinus.pectinicornis	Anaspis.lurida	Cerylon.ferrugineum	Gnathoncus.buyssoni	Orthocis.coluber	Scolytus.carpini	Bitoma.crenata	Cerylon.histeroides	Xyleborus.dryographus	Oligomerus.brunneus	Abdera.quadrifasciata	Ampedus.pomorum	Chlorophorus.glabromaculatus	Aspidiphorus.lareyniei	Brachygonus.megerlei	PTILIIDAE	Dasytes.nigrocyaneus	Poecilium.pusillum	Platystomos.albinus	Uleiota.planatus	Cortodera.humeralis	Diplocoelus.fagi	Stenagostus.rhombeus	Anaspis.garneysi	Colobicus.hirtus	Rhaphitropis.oxyacanthae	Symbiotes.gibberosus	Hyperisus.plumbeum	Ampedus.quercicola	Lathropus.sepicola	Prionychus.fairmairii	Tilloidea.unifasciata	Anaspis.sp.	Cryptarcha.strigata	Clytus.arietis	Soronia.grisea	Phaeochrotes.pudens	Melanotus.villosus	Triplax.russica	Hylastinus.obscurus	Cis.micans	Cryptarcha.undata	Pyrrhidium.sanguineum	Ctesias.serra	Phloiotrya.tenuis	Dromaeolus.barnabita	Gnathoncus.nidorum	Isorhipis.melasoides	Phymatodes.testaceus	Gastrallus.immarginatus	Ischnomera.caerulea	Melasis.buprestoides	Endophloeus.markovichianus	Ampedus.elongatulus	Gastrallus.laevigatus	Chrysobothris.affinis	Ampedus.nigerrimus	Calambus.bipustulatus	Cerambyx.scopolii	Dacne.bipustulata	Opilo.mollis	Tomoxia.bucephala	Anisandrus.dispar	CORYLOPHIDAE	Gasterocercus.depressirostris	Cetonischema.speciosissima	Pseudosphegesthes.cinerea	Potosia.fieberi	Abdera.biflexuosa	Clytus.tropicus	Poecilium.alni	Mycetochara.maura	Taphrorychus.villifrons	Anaspis.regimbarti	Cetonia.aurata	Mesosa.nebulosa	Xylotrechus.antilope	Tropideres.albirostris	Anaspis.maculata	Dasytes.aeratus	Cis.pygmaeus	Litargus.connexus	Trichoferus.pallidus	Cis.striatulus	Scolytus.intricatus	Taphrorychus.bicolor	Lygistopterus.sanguineus	Anaspis.fasciata	Ampedus.sanguinolentus	Megatoma.undata	Clerus.mutillarius	Nacerdes.carniolica	Eulagius.filicornis	Dasytes.pauperculus	Xyleborus.monographus	Cyclorhipidion.bodoanum	Enicmus.sp.	Berginus.tamarisci	Corticariinae	Xyleborinus.saxesenii
Troncais	1	1	19	Troncais11	supra	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	0	0	2	0	2	0	0	0	0	0	4	0	1	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	3	1	0	0	0	0	1	0	0	3	0	1	4	2	3	0	2	0	0	0	1	1	5	0	1	2	1	4	0	4	1	4	13	11	0	5	9	0	18	5	2	14	5	12	16	10
Troncais	1	2	19	Troncais12	intra.sup	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	1	1	2	2	1	0	0	0	1	0	3	1	0	1	1	0	2	5	0	0	0	0	1	2	0	6	1	0	2	1	0	0	0	6	26	0	3	3	1	0	2	0	0	5	0	0	3	12	0	0	0	3	11	4	3	0	0	8	5	11	2	2	1	1	0	1	3	1	14	14	2	7	2	5	11	7	3	0	4	2	0	4	19	0	18	30	4	32	22	5	18	15
Troncais	1	3	19	Troncais13	intra.inf	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	5	0	0	0	1	2	1	0	0	3	0	3	1	0	0	0	5	11	1	0	1	0	0	1	2	5	0	0	1	0	0	0	0	2	0	0	4	0	0	2	3	3	2	13	4	1	1	3	0	1	12	4	1	0	1	2	0	2	1	1	1	0	0	13	35	0	5	0	2	14	0	2	8	4	10	28	0	23	11
Troncais	1	4	19	Troncais14	infra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	3	0	0	2	0	1	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	0	2	2	0	7	0	1	0	0	1	0	0	0	0	0	1	5	0	2	1	0	0	0	0	0	1	0	0	0	0	0	2	0	2	2	0	1	1	0	9	115	0	1	0	2	9	0	1	6	0	6	23	0	12	7
Troncais	2	1	43	Troncais21	supra	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	2	0	0	0	0	0	0	0	2	1	2	1	0	0	0	0	0	0	0	0	2	0	0	2	0	2	2	0	0	0	0	5	0	0	4	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	7	3	8	0	5	3	3	4	3	1	1	7	3	3	0	16	4	0	1	6	0	15	20	0	0	15	12	4	0	24	12	2
Troncais	2	2	43	Troncais22	intra.sup	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	1	2	0	0	0	0	2	0	0	1	1	1	2	0	0	0	4	1	0	0	3	0	11	1	0	0	13	3	1	0	8	8	0
Troncais	2	3	43	Troncais23	intra.inf	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	2	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	1	1	0	0	2	2	2	0	0	0	0	0	0	0	0	4	0	1	1	0	0	2	0	0	0	0	1	1	0	0	0	2	0	0	0	0	1	0	2	6	3	0	0	0	0	0	1	0	2	0	0	40	0	0	2	0	6	0	0	9	6	10	1	21	0	15	1
Troncais	2	4	43	Troncais24	infra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	1	0	0	5	0	1	1	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	1	0	1	0	0	0	2	0	0	0	1	0	0	0	1	13	0	0	0	0	0	1	2	0	0	0	1	1	9	0	0	0	4	0	0	2	0	2	0	6	0	14	2
Troncais	3	1	118	Troncais31	supra	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	0	2	1	3	0	0	0	0	0	0	1	0	0	0	0	1	0	3	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	4	0	0	2	4	0	0	0	0	1	0	0	2	2	0	0	5	0	10	0	1	1	1	1	5	3	2	2	0	13	3	1	4	8	0	10	3	0	10	8	42	22	2	55	26	5
Troncais	3	2	118	Troncais32	intra.sup	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1	1	0	0	0	0	5	0	7	1	0	1	0	4	6	0	1	1	7	0	2	1	0	2	0	7	1	0	3	1	3	3	1	4	3	1	0	3	2	1	1	0	1	6	5	0	0	1	0	3	2	0	0	1	1	6	5	3	3	4	0	6	0	4	6	14	8	3	6	3	0	6	14	11	0	7	5	0	6	43	0	17	14	13	82	6	24	25	0
